"produto","numero_nf","quantidade","total"
"MOTO Z PLAY 3",157350,"3.00","3450.00"
"CARTAO SD 32 GB SANDISK",185670,"2.00","64.00"
"MOTO G6",108270,"3.00","2580.00"
"A TEORIA",41610,"4.00","792.00"
"JUICER ARNO",246970,"1.00","450.00"
"GRILL GEROGE FOREMAN",171380,"5.00","1250.00"
"CARTOON MOVIE",24450,"3.00","297.00"
"EXCHANGE 2014",47430,"5.00","650.00"
"PENDRIVE 128",79960,"5.00","730.00"
"GLADIADORES",98150,"3.00","435.00"
"FAMILIA PARATTO",170360,"2.00","268.00"
"SAO PAULO / GOIANIA",60610,"1.00","400.00"
"FABULA",74700,"4.00","480.00"
"CENTRIFUGA ARNO",67520,"5.00","14000.00"
"LAVADORA LG 10L",127290,"2.00","5600.00"
"CRONICAS ANTIGAS",12370,"3.00","567.00"
"SAO PAULO / MIAMI",87900,"3.00","6900.00"
"TV LED 42 SONY",253890,"5.00","10000.00"
"DESKTOP A5 PH",120560,"5.00","6500.00"
"TV LED 42 LG",124670,"2.00","4000.00"
"O SUPER-HERÓI",172200,"3.00","135.00"
"CENTRIFUGA ARNO",41300,"3.00","8400.00"
"HD 2T",77950,"3.00","1950.00"
"NOTEBOOK HP C-34",35200,"5.00","11500.00"
"NOTEBOOK ACER 17",125230,"4.00","8400.00"
"NOTEBOOK MSFT HIBR",223320,"3.00","14400.00"
"FAMILIA PARATTO",151180,"3.00","402.00"
"PLAYSTATION 4",241610,"1.00","1980.00"
"LEITOR DE CARTOES",238350,"4.00","136.00"
"CAMA CASAL",212470,"4.00","4000.00"
"RIO DE JANEIRO / CURITIBA",234190,"2.00","900.00"
"SAO PAULO / GOIANIA",66230,"4.00","1600.00"
"LG OPTIMUS",26160,"1.00","890.00"
"DREAMC QUARTY",186330,"4.00","720.00"
"PENDRIVE 128",84280,"1.00","146.00"
"JUST DANCE",38820,"4.00","396.00"
"LAVADORA LG 10L",199280,"2.00","5600.00"
"CAMA SOLTEIRO",213010,"2.00","1200.00"
"TITANS",30820,"5.00","490.00"
"SMART TV PANASONIC 42",65020,"5.00","11000.00"
"MP4 32 GB SONY",242650,"4.00","960.00"
"DESKTOP A5 HP",201470,"3.00","3900.00"
"NOTEBOOK ACER 17",103720,"4.00","8400.00"
"TV LED 32 LG",21750,"2.00","2200.00"
"O SUPER-HERÓI",77160,"2.00","90.00"
"IPOD NANO 16",143610,"3.00","900.00"
"PHONE 5",59610,"2.00","5000.00"
"HD 1T",239610,"1.00","290.00"
"JACKSON",213480,"4.00","136.00"
"JACKSON",123650,"5.00","170.00"
"SAO PAULO / MADRID",199270,"4.00","10800.00"
"CAMA CASAL",8840,"3.00","3000.00"
"FAMILIA PARATTO",2540,"4.00","536.00"
"HOME THEATER PANASONIC",205550,"1.00","245.00"
"CAVALEIROS DE PRATA",189030,"2.00","290.00"
"HD 1T",37610,"2.00","580.00"
"CARTAO SD 128 GB SANDISK",213780,"3.00","468.00"
"O IMORTAL",209100,"4.00","148.00"
"O PEQUENO",6170,"4.00","172.00"
"ESCOLINHA DO JUCA",63430,"4.00","224.00"
"MESA DE CENTRO",69560,"3.00","1500.00"
"FAMILIA PARATTO",22560,"2.00","268.00"
"FUTEBOL 2018",107720,"2.00","290.00"
"DIÁRIO ROMÂNTICO",171270,"4.00","704.00"
"FAMILIA PARATTO",229480,"1.00","134.00"
"CASTELVANIA",168470,"2.00","240.00"
"WINDOWS 2016 VISAO GERAL",123300,"5.00","450.00"
"AS CRÔNICAS DE ANDROMEDA",235590,"3.00","207.00"
"CARTAO SD 64 GB SAMSUNG",73670,"4.00","312.00"
"TV LED 32 LG",1760,"4.00","4400.00"
"SQL SERVER 2016",15530,"1.00","30.00"
"RIO DE JANEIRO / LONDRINA",175350,"2.00","860.00"
"NOTEBOOK SONY AWS",145320,"2.00","5500.00"
"TV LED 32 SAMSUNG",182120,"2.00","2420.00"
"LAVA LOUCAS CCE",41910,"4.00","14400.00"
"CARTAO SD 128 GB SANDISK",60980,"1.00","156.00"
"GLADIADORES",108000,"4.00","580.00"
"TV LED 50 SONY",203000,"2.00","6400.00"
"MEMORIA DDR 3 16GB",40290,"3.00","420.00"
"PLAYSTATION 3",241050,"3.00","2940.00"
"ESCOLINHA DO JUCA",88750,"4.00","224.00"
"PLACA DE SOM",90640,"3.00","870.00"
"NOTEBOOK MSFT HIBR",242480,"5.00","24000.00"
"PLAYSTATION 3",104460,"3.00","2940.00"
"MOTO Z PLAY 3",107380,"2.00","2300.00"
"NOKIA ASHA 501",233910,"2.00","1200.00"
"TABLET 10 LENOVO",229770,"2.00","1600.00"
"MEMORIA DDR 3 16GB",213620,"1.00","140.00"
"MOCHILA NOTEBOOK 17 POL",71290,"1.00","139.00"
"SAO PAULO / BELO HORIZONTE",129680,"4.00","1000.00"
"SMART TV PANASONIC 52",49990,"4.00","16800.00"
"LEITOR DE CARTOES MULTILASER",248770,"4.00","96.00"
"RIO DE JANEIRO / MADRID",129840,"2.00","3600.00"
"IPOD NANO 16",242150,"1.00","300.00"
"PENDRIVE 32 MULTILASER",44270,"4.00","200.00"
"ADVANCED AZURE",90100,"4.00","280.00"
"A CULPA É DAS ESTRELAS",166030,"3.00","72.00"
"GALAXY NOTE",241980,"2.00","5800.00"
"FUTEBOL 2018",15820,"4.00","580.00"
"DINOSSAUROS",42430,"5.00","200.00"
"TV LED 55 LG",213860,"1.00","3900.00"
"MOUSE OPTICO",137040,"2.00","178.00"
"A CASA",33320,"4.00","1196.00"
"SAMSUNG XY 3",101000,"4.00","3200.00"
"SMART TV PANASONIC 52",4030,"3.00","12600.00"
"DESKTOP A5 ML",56830,"2.00","2600.00"
"TV LED 60 SONY",181340,"2.00","7800.00"
"JOGOS MALÉFICOS",123000,"2.00","76.00"
"TV 3D PHILIPS 42",166190,"4.00","15200.00"
"NOTEBOOK MSFT HIBR",176670,"1.00","4800.00"
"TABLET 10 LENOVO",135140,"2.00","1600.00"
"GALAXY TAB 10",43340,"4.00","9200.00"
"PENDRIVE 64",138100,"4.00","320.00"
"RIO DE JANEIRO / PARIS",218280,"4.00","9200.00"
"RIO DE JANEIRO / CURITIBA",61540,"2.00","900.00"
"RAIDER",123700,"4.00","480.00"
"CAVALEIROS DE PRATA",128460,"5.00","725.00"
"O IMORTAL",152450,"3.00","111.00"
"RIO DE JANEIRO / LIMA",24870,"1.00","1900.00"
"WINDOWS 2016 VISAO GERAL",51540,"5.00","450.00"
"COMBO TECLADO E MOUSE",122900,"2.00","620.00"
"JOGOS VORAZES",204800,"3.00","135.00"
"TV LED 42 SONY",132900,"3.00","6000.00"
"DREAMC VGA",139790,"3.00","450.00"
"SAO PAULO / LONDRINA",127130,"2.00","620.00"
"SAMSUNG E1203",128230,"4.00","2240.00"
"SAO PAULO / BELO HORIZONTE",96260,"3.00","750.00"
"HD 3T",17740,"2.00","1520.00"
"CASOAS ANTIGOS",253990,"3.00","111.00"
"SAMSUNG E1203",28660,"5.00","2800.00"
"NOTEBOOK MSFT HIBR",145800,"2.00","9600.00"
"DESKTOP P5 PH",110260,"1.00","1400.00"
"FAMILIA PARATTO",89810,"5.00","670.00"
"GALAXY NOTE",162490,"2.00","5800.00"
"TABLET 7 LENOVO",54270,"3.00","1800.00"
"ROTEADOR 18 PORTAS",53450,"1.00","300.00"
"MOTO G6",50350,"3.00","2580.00"
"IPAD MINI 16",161360,"2.00","2400.00"
"HD 1T",132510,"2.00","580.00"
"TV LED 32 SONY",218070,"5.00","5000.00"
"GLADIADORES",30570,"4.00","580.00"
"DINOSSAUROS",163080,"1.00","40.00"
"A CULPA É DAS ESTRELAS",252940,"4.00","96.00"
"JUST DANCE",48320,"2.00","198.00"
"NOTEBOOK ACER 15",21390,"4.00","6000.00"
"HD 2T SAMSUNG",239830,"1.00","550.00"
"A CASA",118320,"1.00","299.00"
"O SENHOR DO CRIME",249550,"3.00","597.00"
"MICROONDAS BRASTEMP",220720,"3.00","1800.00"
"JOGOS MALÉFICOS",200260,"4.00","152.00"
"MOTO G5",49990,"3.00","2037.00"
"SAO PAULO / CURITIBA",141830,"1.00","300.00"
"LAVADORA GANCA 10L",116180,"1.00","5400.00"
"TV 3D PHILIPS 42",225430,"2.00","7600.00"
"MOTO G5",41890,"1.00","679.00"
"XTG SOUND",123090,"1.00","320.00"
"A CULPA É DAS ESTRELAS",109040,"3.00","72.00"
"PC DUAL CORE",229740,"5.00","6750.00"
"MOTO G6",182790,"3.00","2580.00"
"ADVANCED AZURE",72450,"2.00","140.00"
"ADVANCED AZURE",17880,"4.00","280.00"
"MAFIA",167430,"4.00","480.00"
"PLAYSTATION 3",24720,"4.00","3920.00"
"HD 1T SAMSUNG",160940,"1.00","260.00"
"ADVANCED AZURE",254240,"1.00","70.00"
"PENDRIVE 16",73270,"3.00","90.00"
"TV LED 50 LG",245130,"1.00","3100.00"
"RIO DE JANEIRO / NEW YORK",111180,"3.00","7800.00"
"O SUPER-HERÓI",14210,"4.00","180.00"
"SMART TV PANASONIC 32",223800,"2.00","2198.00"
"MOTOROLA TV",184110,"4.00","3196.00"
"CAMA SOLTEIRO",61810,"4.00","2400.00"
"IPAD 32",46840,"3.00","5700.00"
"HOME THEATER PANASONIC",96810,"5.00","1225.00"
"HD 3T SAMSUNG",165340,"4.00","2800.00"
"A CULPA É DAS ESTRELAS",217860,"4.00","96.00"
"TABLET 7 LENOVO",124300,"2.00","1200.00"
"ADAPTADOR WIRELESS",1420,"4.00","356.00"
"XTG SOUND",68280,"2.00","640.00"
"MOTO Z PLAY 3",150150,"2.00","2300.00"
"MOCHILA NOTEBOOK 14 POL",65000,"2.00","178.00"
"SAO PAULO / SALVADOR",72080,"3.00","1350.00"
"CARTAO SD 128 GB SANDISK",135060,"3.00","468.00"
"VINGANÇA",27020,"3.00","135.00"
"MOUSE OPTICO",81840,"5.00","445.00"
"HD 1T",141220,"4.00","1160.00"
"NOTEBOOK HP INOVE",190870,"2.00","6600.00"
"CARTAO SD 64 GB SAMSUNG",62680,"4.00","312.00"
"DESKTOP A5 HP",67070,"4.00","5200.00"
"TECLADO WIRELESS",198210,"4.00","356.00"
"IPOD NANO 16",37740,"2.00","600.00"
"GLADIADORES",26960,"4.00","580.00"
"O PATRÃO",127720,"3.00","234.00"
"TITANS",34020,"4.00","392.00"
"HD 3T SAMSUNG",188560,"4.00","2800.00"
"NOKIA ASHA 202",43030,"3.00","2100.00"
"JUST DANCE",136010,"4.00","396.00"
"CARTAO SD 128 GB SANDISK",165990,"4.00","624.00"
"IPOD NANO 16",202730,"2.00","600.00"
"SAMSUNG XY 4",168260,"2.00","2400.00"
"DREAMC VGA",5370,"3.00","450.00"
"SAO PAULO / LONDRINA",197580,"2.00","620.00"
"NOTEBOOK HP C-34",206840,"1.00","2300.00"
"SAO PAULO / BELO HORIZONTE",65090,"2.00","500.00"
"CONJUNTO DE SOFA",53680,"3.00","10500.00"
"ROTEADOR WIRELESS",233200,"1.00","90.00"
"SONY W500",192790,"4.00","4800.00"
"RIO DE JANEIRO / CAMPINAS",14840,"2.00","500.00"
"MENTES CRIMINOSAS",55420,"4.00","840.00"
"TV PLASMA PHILIPS 42",194890,"5.00","6000.00"
"SOUTH PLACE",127460,"4.00","392.00"
"NOTEBOOK ACER 15",168770,"3.00","4500.00"
"HOME THEATER PANASONIC",178220,"5.00","1225.00"
"NOTEBOOK LN 15",182450,"1.00","1500.00"
"NOTEBOOK SONY JK",196110,"4.00","11200.00"
"PENDRIVE 16",17680,"3.00","90.00"
"JACKSON",203050,"3.00","102.00"
"PLAYSTATION 4",136170,"3.00","5940.00"
"A VIDA SECRETA",117020,"2.00","74.00"
"TV LED 32 SAMSUNG",242010,"2.00","2420.00"
"C# PRATICO",86170,"3.00","180.00"
"PENDRIVE 16",163200,"4.00","120.00"
"GRAVITACIONAL",97990,"1.00","78.00"
"MAFIA",205930,"2.00","240.00"
"GLADIADORES",124080,"2.00","290.00"
"GALAXY NOTE",135670,"4.00","11600.00"
"MESA JANTAR 6 LUGARES",211230,"5.00","12500.00"
"JUICER WALLITA",18470,"2.00","900.00"
"PENDRIVE 16",127370,"1.00","30.00"
"ADAPTADOR WIRELESS",199440,"3.00","267.00"
"THIEF",10720,"4.00","560.00"
"SMART TV PANASONIC 46",39160,"3.00","9297.00"
"PENDRIVE 64 ML",246790,"2.00","170.00"
"CAVALEIROS DE PRATA",128220,"1.00","145.00"
"MESA DE CENTRO",119530,"5.00","2500.00"
"DESKTOP I5",203560,"4.00","8400.00"
"TV LED 42 SAMSUNG",63970,"4.00","8800.00"
"THIEF",12230,"4.00","560.00"
"CAMA SOLTEIRO",219180,"2.00","1200.00"
"CARTAO SD 128 GB SANDISK",82480,"3.00","468.00"
"IPOD NANO 32",21360,"3.00","1350.00"
"SONY W200",8900,"4.00","4400.00"
"XTG RAD D1",190420,"3.00","2400.00"
"MESA DE CENTRO",30670,"2.00","1000.00"
"SQL SERVER 2016",162650,"2.00","60.00"
"RIO DE JANEIRO / MADRID",247790,"2.00","3600.00"
"PLAYSTATION 4",101360,"4.00","7920.00"
"SONY W200",214280,"1.00","1100.00"
"PENDRIVE 16",11980,"3.00","90.00"
"JUICER WALLITA",121580,"4.00","1800.00"
"ROTEADOR 18 PORTAS",243620,"5.00","1500.00"
"JUST DANCE",192030,"1.00","99.00"
"PLACA DE SOM",121390,"2.00","580.00"
"NOTEBOOK SONY 3D",4980,"2.00","5000.00"
"COMBO TECLADO E MOUSE",1910,"2.00","620.00"
"COMBO TECLADO E MOUSE",147460,"2.00","260.00"
"DESKTOP A5 PH",189760,"4.00","5200.00"
"SMART TV SAMSUNG 52",96930,"1.00","4300.00"
"DESKTOP A5 HP",230670,"4.00","5200.00"
"GRAVITACIONAL",162470,"2.00","156.00"
"TV LED 32 SAMSUNG",173570,"1.00","1210.00"
"SOUTH PLACE",124380,"2.00","196.00"
"DESKTOP A5 PH",73110,"3.00","3900.00"
"SONY I7",32850,"4.00","10000.00"
"CARTAO SD 128 GB SANDISK",157680,"3.00","468.00"
"NOKIA ASHA 202",182620,"4.00","2800.00"
"COMBO TECLADO E MOUSE",27060,"2.00","620.00"
"LAVADORA LG 10L",163020,"4.00","11200.00"
"SMART TV PANASONIC 32",142660,"1.00","1099.00"
"VINGANÇA",167580,"4.00","180.00"
"BATEDEIRA BRASTEMP",9620,"3.00","360.00"
"RACK TV MOGNO",51800,"2.00","3000.00"
"SAO PAULO / RIO DE JANEIRO",6650,"3.00","690.00"
"MESA JANTAR 6 LUGARES",249740,"3.00","7500.00"
"CARTAO SD 32 GB SANDISK",102370,"2.00","64.00"
"GALAXY TAB 10",5460,"4.00","9200.00"
"CAMA CASAL",230180,"4.00","4000.00"
"DESKTOP 17",90610,"3.00","6900.00"
"CENTRIFUGA ARNO",101370,"3.00","8400.00"
"PHONE 4",192190,"4.00","7600.00"
"HD 1T",130840,"1.00","290.00"
"NOTEBOOK SONY AWS",235320,"3.00","8250.00"
"FABULA",29530,"3.00","360.00"
"UM CASO PERDIDO",217310,"4.00","224.00"
"IPAD MINI 16",4540,"4.00","4800.00"
"SAMSUNG XY 3",66000,"2.00","1600.00"
"VINGANÇA",31830,"3.00","135.00"
"DINOSSAUROS",202310,"4.00","160.00"
"GALAXY NOTE",91210,"2.00","5800.00"
"IPOD NANO 16",185180,"4.00","1200.00"
"SAO PAULO / MIAMI",99690,"3.00","6900.00"
"TV LED 32 LG",53340,"2.00","2200.00"
"TV LED 32 LG",24360,"2.00","2200.00"
"A CULPA É DAS ESTRELAS",172740,"2.00","48.00"
"SONY W500",36160,"2.00","2400.00"
"CONJUNTO DE SOFA",244890,"2.00","7000.00"
"NOTEBOOK MSFT TOUCH",124540,"3.00","10500.00"
"TV LED 32 SAMSUNG",49110,"5.00","6050.00"
"CRONICAS ANTIGAS",48980,"2.00","378.00"
"PANIFICADORA BRITANIA",7570,"1.00","250.00"
"TECLADO WIRELESS",34430,"1.00","89.00"
"MIXER BRITANIA",179850,"4.00","360.00"
"MICROONDAS BRASTEMP",116060,"2.00","1200.00"
"SAO PAULO / ROMA",76640,"5.00","14000.00"
"WINDOWS 2016 VISAO GERAL",189760,"3.00","270.00"
"SONY I5",166000,"4.00","7200.00"
"DESKTOP A5 ML",151020,"2.00","2600.00"
"GLADIADORES",34590,"2.00","290.00"
"SONY I5",71120,"1.00","1800.00"
"DREAMC VGA",18310,"3.00","450.00"
"FUTEBOL 2018",108400,"4.00","580.00"
"SOCCER 2018",86190,"5.00","725.00"
"SMART TV PHILIPS 46",14090,"4.00","12796.00"
"HOMEM DE AÇO",12390,"4.00","180.00"
"PENDRIVE 64 ML",135360,"2.00","170.00"
"CADEIRA DE FERRO",126630,"3.00","900.00"
"LIQUIDIFICADOR ARNO",193080,"4.00","348.00"
"CADEIRA DE FERRO",39780,"4.00","1200.00"
"DESKTOP A5 ML",88320,"3.00","3900.00"
"XTG SOUND",153030,"3.00","960.00"
"MP4 32 GB SONY",24770,"1.00","240.00"
"SMART TV PANASONIC 46",33150,"3.00","9297.00"
"UM CASO PERDIDO",12940,"1.00","56.00"
"SAMSUNG XY 4",121590,"4.00","4800.00"
"O SENHOR DO CRIME",105650,"1.00","199.00"
"TABLET 7 LENOVO",119370,"1.00","600.00"
"O SENHOR DO CRIME",141320,"2.00","398.00"
"IPOD NANO 32",143830,"2.00","900.00"
"SAO PAULO / LIMA",172770,"3.00","5700.00"
"PENDRIVE 128",170040,"1.00","146.00"
"LAVADORA GANCA 10L",17320,"2.00","10800.00"
"BATEDEIRA BRASTEMP",135220,"3.00","360.00"
"RIO DE JANEIRO / CURITIBA",75960,"2.00","900.00"
"SONY I5",246900,"3.00","5400.00"
"DESKTOP P5 PH",55160,"1.00","1400.00"
"DIÁRIO ROMÂNTICO",216690,"2.00","352.00"
"DRAGON BLAZER",175780,"4.00","360.00"
"GALAXY TAB 10",174510,"1.00","2300.00"
"PLAYSTATION 4",27380,"2.00","3960.00"
"MOCHILA NOTEBOOK 14 POL",114860,"4.00","356.00"
"MOUSE OPTICO",151000,"3.00","177.00"
"SAMSUNG XY 3",107770,"1.00","800.00"
"SAO PAULO / CURITIBA",117100,"3.00","900.00"
"CONJUNTO DE SOFA",143800,"4.00","14000.00"
"LIQUIDIFICADOR ARNO",137350,"1.00","87.00"
"NOTEBOOK SONY AWS",139220,"3.00","8250.00"
"NOTEBOOK HP C-34",2230,"2.00","4600.00"
"RIO DE JANEIRO / LONDRINA",234090,"5.00","2150.00"
"TV LED 42 CCE",38890,"4.00","6400.00"
"WINDOWS 2016 VISAO GERAL",116740,"3.00","270.00"
"PENDRIVE 128",242850,"4.00","584.00"
"LAVADORA GANCA 10L",252190,"4.00","21600.00"
"FREEZER 300L BRASTEMP",115320,"1.00","1800.00"
"TV PLASMA PHILIPS 42",121550,"4.00","4800.00"
"A CULPA É DAS ESTRELAS",222660,"3.00","72.00"
"PENDRIVE 64 ML",207540,"2.00","170.00"
"HD 2T SAMSUNG",183920,"4.00","2200.00"
"NOTEBOOK ACER 17",13340,"5.00","10500.00"
"MESA DE CENTRO",170380,"4.00","2000.00"
"LG C397",127030,"3.00","1500.00"
"LAVA LOUCAS CCE",250750,"5.00","18000.00"
"MP4 32 GB SONY",13440,"4.00","960.00"
"IPAD MINI 16",52450,"3.00","3600.00"
"COMBO TECLADO E MOUSE",204230,"3.00","390.00"
"NOKIA ASHA 501",63580,"2.00","1200.00"
"IPAD 32",247530,"2.00","3800.00"
"JUICER ARNO",66270,"5.00","2250.00"
"CARREGADOR UNIVERSAL NOKIA",123840,"4.00","400.00"
"SAO PAULO / CURITIBA",70860,"4.00","1200.00"
"TV 3D SONY 42",8400,"4.00","12400.00"
"CARREGADOR TURBO CELULAR",26910,"4.00","396.00"
"THIEF",245520,"2.00","280.00"
"LIQUIDIFICADOR WALLITA",32440,"3.00","270.00"
"MEMORIA DDR 3 32GB",193740,"4.00","1400.00"
"HD 2T",219080,"3.00","1950.00"
"HOME THEATER LG",37320,"5.00","1150.00"
"TV LED 50 LG",204740,"1.00","3100.00"
"ESCOLINHA DO JUCA",129720,"5.00","280.00"
"RIO DE JANEIRO / RECIFE",2260,"2.00","1120.00"
"REVIVALS",205230,"3.00","435.00"
"FAMILIA PARATTO",21230,"3.00","402.00"
"JUICER WALLITA",5380,"3.00","1350.00"
"DESKTOP P5 ML",183540,"3.00","4200.00"
"DESKTOP P5 ML",193100,"3.00","4200.00"
"TSQL TUNING",107830,"2.00","180.00"
"FREEZER 300L BRASTEMP",113020,"4.00","7200.00"
"PENDRIVE 32 MULTILASER",96350,"1.00","50.00"
"LIQUIDIFICADOR WALLITA",92420,"2.00","180.00"
"MOCHILA NOTEBOOK 15.6 POL",154520,"4.00","436.00"
"DESKTOP A5 HP",201650,"4.00","5200.00"
"FUTEBOL 2018",134750,"1.00","145.00"
"SAO PAULO / SALVADOR",136120,"3.00","1350.00"
"CADEIRA DE FERRO",140180,"5.00","1500.00"
"O SUPER-HERÓI",78580,"3.00","135.00"
"PLACA DE SOM",59780,"4.00","1160.00"
"CARTOON MOVIE",231820,"5.00","495.00"
"TV LED 32 SONY",245250,"3.00","3000.00"
"HOMEM DE AÇO",247640,"4.00","180.00"
"TV 3D SONY 42",190150,"4.00","12400.00"
"HD 2T SAMSUNG",245830,"4.00","2200.00"
"TV 3D SONY 42",186050,"2.00","6200.00"
"MESA DE CENTRO",198860,"1.00","500.00"
"LIQUIDIFICADOR WALLITA",199980,"4.00","360.00"
"NOTEBOOK MSFT HIBR",240260,"1.00","4800.00"
"ARMARIO COZINHA 6 PORTAS",218790,"4.00","10000.00"
"JOGOS MALÉFICOS",45330,"1.00","38.00"
"PENDRIVE 64 ML",27550,"3.00","255.00"
"THIEF",88410,"4.00","560.00"
"RIO DE JANEIRO / LIMA",74530,"2.00","3800.00"
"CAVALEIROS DE PRATA",137040,"5.00","725.00"
"RIO DE JANEIRO / PARIS",102940,"4.00","9200.00"
"NOKIA QUARTY",66600,"3.00","900.00"
"HOMEM DE AÇO",65450,"4.00","180.00"
"O PATRÃO",91070,"4.00","312.00"
"NOTEBOOK ACER 17",99390,"3.00","6300.00"
"XTG E1",124350,"5.00","1500.00"
"HOME THEATER PANASONIC",52260,"4.00","980.00"
"IPAD 32",36590,"5.00","9500.00"
"LIQUIDIFICADOR WALLITA",189250,"2.00","180.00"
"FAMILIA PARATTO",228700,"1.00","134.00"
"NOTEBOOK SONY AWS",203270,"3.00","8250.00"
"CARTAO SD 128 GB SANDISK",184580,"5.00","780.00"
"ADVANCED AZURE",103790,"3.00","210.00"
"MOTOROLA TV",37150,"1.00","799.00"
"TV LED 42 LG",133260,"1.00","2000.00"
"O PATRÃO",243330,"4.00","312.00"
"SONY I7",6480,"4.00","10000.00"
"GRILL GEROGE FOREMAN",80930,"4.00","1000.00"
"DESKTOP A5 PH",23570,"3.00","3900.00"
"REVIVALS",74100,"5.00","725.00"
"SAMSUNG XY 4",105150,"5.00","6000.00"
"TSQL TUNING",205060,"3.00","270.00"
"TV LED 42 SAMSUNG",227320,"5.00","11000.00"
"RIO DE JANEIRO / CAMPINAS",222640,"1.00","250.00"
"MOCHILA NOTEBOOK 15.6 POL",85260,"1.00","109.00"
"PENDRIVE 128",229720,"4.00","584.00"
"PENDRIVE 64 ML",224070,"2.00","170.00"
"PENDRIVE 128",123580,"5.00","730.00"
"PHONE 5",63550,"3.00","7500.00"
"CHAPA A GAS GANCA",150850,"3.00","5400.00"
"DREAMC QUARTY",205180,"4.00","720.00"
"JUST DANCE",244720,"3.00","297.00"
"HD 3T",28840,"2.00","1520.00"
"TABLET 7 LENOVO",241150,"5.00","3000.00"
"O IMORTAL",125030,"3.00","111.00"
"DESKTOP A5 ML",38400,"3.00","3900.00"
"GLADIADORES",244020,"1.00","145.00"
"O SENHOR DO CRIME",198770,"4.00","796.00"
"MIXER WALLITA",23200,"5.00","800.00"
"DESKTOP A5 HP",139220,"3.00","3900.00"
"CARTAO SD 32 GB SANDISK",201980,"2.00","64.00"
"O SUPER-HERÓI",174920,"3.00","135.00"
"SAMSUNG XY 4",89240,"2.00","2400.00"
"CAVALEIROS DE PRATA",23660,"3.00","435.00"
"HD 2T SAMSUNG",40400,"3.00","1650.00"
"HD 1T",214130,"4.00","1160.00"
"RIO DE JANEIRO / CAMPINAS",100260,"4.00","1000.00"
"NOTEBOOK HP ONE",140930,"3.00","5610.00"
"IPAD 64",250670,"3.00","7500.00"
"MICROONDAS BRASTEMP",72610,"4.00","2400.00"
"WARIO",222260,"5.00","725.00"
"DINOSSAUROS",47780,"4.00","160.00"
"MEMORIA DDR 3 32GB",166340,"3.00","1050.00"
"RIO DE JANEIRO / CAMPINAS",154280,"4.00","1000.00"
"GRAVITACIONAL",84020,"1.00","78.00"
"XTG RAD D1",173840,"3.00","2400.00"
"SAMSUNG XY 3",160510,"2.00","1600.00"
"NOKIA 549",221840,"2.00","900.00"
"SOCCER 2018",82830,"3.00","435.00"
"A TEORIA",103340,"3.00","594.00"
"TITANS",251590,"3.00","294.00"
"CASTELVANIA",151350,"2.00","240.00"
"TV PLASMA PHILIPS 42",228400,"4.00","4800.00"
"LIQUIDIFICADOR ARNO",231680,"2.00","174.00"
"HD 2T",141270,"1.00","650.00"
"SMART TV PHILIPS 46",90560,"3.00","9597.00"
"XTG RAD D3",36260,"3.00","2100.00"
"CASTELVANIA",167760,"2.00","240.00"
"TV LED 50 SONY",207780,"1.00","3200.00"
"ADAPTADOR WIRELESS",133040,"1.00","89.00"
"RIO DE JANEIRO / LONDRINA",115770,"5.00","2150.00"
"IPAD 32",157820,"4.00","7600.00"
"HOMEM DE AÇO",97670,"2.00","90.00"
"PLACA DE SOM",33650,"2.00","580.00"
"COMBO TECLADO E MOUSE",193550,"4.00","1240.00"
"PLAYSTATION 4",207420,"4.00","7920.00"
"CARTAO SD 128 GB SANDISK",188430,"2.00","312.00"
"HOMEM DE AÇO",239100,"2.00","90.00"
"CARTAO SD 128 GB SANDISK",193270,"3.00","468.00"
"PENDRIVE 64",158510,"4.00","320.00"
"JACKSON",18530,"3.00","102.00"
"O PATRÃO",113590,"3.00","234.00"
"NOKIA QUARTY",88870,"5.00","1500.00"
"GRILL GEROGE FOREMAN",186280,"2.00","500.00"
"HD 2T",116580,"2.00","1300.00"
"PENDRIVE 32 MULTILASER",221490,"4.00","200.00"
"TSQL TUNING",220380,"3.00","270.00"
"NOKIA 549",45200,"5.00","2250.00"
"IPAD 32",116360,"3.00","5700.00"
"BATEDEIRA BRASTEMP",117160,"2.00","240.00"
"CHAPA A GAS GANCA",93870,"5.00","9000.00"
"DINOSSAUROS",238970,"4.00","160.00"
"DIABO",230180,"2.00","198.00"
"TV LED 32 SAMSUNG",162920,"4.00","4840.00"
"LIQUIDIFICADOR ARNO",174080,"4.00","348.00"
"MESA DE CENTRO",15850,"3.00","1500.00"
"NOKIA 549",124950,"5.00","2250.00"
"GALAXY TAB 10",240890,"3.00","6900.00"
"THIEF",14670,"4.00","560.00"
"DIABO",219040,"4.00","396.00"
"A TEORIA",185640,"2.00","396.00"
"JUST DANCE",34760,"2.00","198.00"
"PENDRIVE 128",89680,"3.00","438.00"
"MP4 32 GB SONY",64820,"1.00","240.00"
"LAVADORA LG 10L",90710,"3.00","8400.00"
"TV LED 42 CCE",121660,"2.00","3200.00"
"JUICER ARNO",246140,"4.00","1800.00"
"RIO DE JANEIRO / MADRID",45220,"2.00","3600.00"
"DESKTOP P5 ML",248040,"2.00","2800.00"
"CARTAO SD 128 GB SANDISK",103000,"4.00","624.00"
"MEMORIA DDR 3 4GB",212990,"4.00","320.00"
"SAO PAULO / LIMA",91930,"2.00","3800.00"
"FANTASY STAR",101010,"2.00","178.00"
"SAO PAULO / LIMA",131320,"3.00","5700.00"
