"nome","razao_social"
"BARBARA CECILIA AUGUSTO SAMPAIO","R C COMERCIO ELETRONICO LTDA"
"ANTONIO CLEITON VIEIRA DE MESQUITA","CARTÓRIO DO 2° OFÍCIO DE REG DE IMOV DA COM DE BEBERIBE"
"CLEISON DA SILVA DOMICIANO","CATG - CENTRO DE ANALISE E TIPAGEM DE GENOMAS LTDA."
"MARIA DE OLIVEIRA ALVES","TERRALUZ VEICULOS E PECAS LTDA"
"ANA CRISTINA COSTA SOUSA","CENETRAN CENTRO DE EDUCACAO DE TRANSITO LTDA"
"BRENNA ALVES MAIA","CENTRO DE FORMACAO DE CONDUTORES ARAGAO LTDA - ME"
"PAULO ROBERTO FERNANDO DO NASCIMENTO","B. R. DE OLIVEIRA BRAGA EPP"
"LUIZ CLEDSON SILVEIRA SOUZA","CENTRO DE FORMACAO DE CONDUTORES PARCERIA LTDA"
"ALEX SANDRO SOARES DA CRUZ PALMA","CENTRO DE FORMACAO DE CONDUTORES CAUCAIA LTDA"
"ANA TAMARA DOS SANTOS FERREIRA","CENTRO DE FORMACAO DE CONDUTORES DIAMANTE LTDA"
"DAYANE OLIVEIRA DE FREITAS","CENTRO DE FORMACAO DE CONDUTORES FRANCO LTDA ME"
"FRANCISCA EDILEUDA SOUSA CASTRO","CENTRO DE FORMACAO DE CONDUTORES LIBERDADE LTDA"
"FAUZER HENRIQUE HAIDAR GUIMARAES","CENTRO DE FORMACAO DE CONDUTORES MARCELOS LTDA ME"
"MARIA LARYSSA GOMES DO CARMO","CENTRO DE FORMACAO DE CONDUTORES REIS LTDA"
"CLAUDIO HENRIQUE GONCALVES LIRA","CENTRO DE FORMACAO DE CONDUTORES SAO MATHEUS LTDA ME"
"VANNUCY MEIRELES NEVES","CENTRO DE FORMACAO DE CONDUTORES SOUSA EIRELI"
"FRANCISCA LEYLA DA SILVA MORAIS","BRUNA K M CARNEIRO ODONTO MEDICO LTDA"
"CICERO ROQUE DOS SANTOS","DEPARTAMENTO ESTADUAL DE TRANSITO - DETRAN - TO"
"FRANCISCO HELISON SANTOS DE SOUZA","LAURO CARVALHO JUNIOR EIRELI"
"ANA LIVIA DA SILVA SOUSA","CMK AUTOMACAO COMERCIAL EIRELI"
"VICTOR CRISPINIANO VASCONCELOS","COMERCIAL F.MENEZES EIRELI"
"GABRIEL LOUREIRO MACEDO MICHILES","CONSTRUCOES XIMENES COMERCIAL LTDA MICROEMPRESA"
"MARIA CRISTINA LIMA DA SILVA","CS BRASIL"
"JOSE LUCAS RODRIGUES RIBEIRO","DELTA ELEVADORES INDUSTRIA E COMERCIO LTDA"
"FRANCISCA AURECILA ROSA DOS SANTOS","DEMETRIUS LINS DE SOUSA"
"RAIMUNDO ALVES BESERRA","DUTRA MATERIAL DE CONSTRUCOES LTDA"
"LUCINEIDE FERREIRA DE SOUSA DIAS","ÉBANO SERVIÇOS HOME CARE LTDA"
"FRANCISCA GEOVANIA GOMES DA SILVA","EOLICA SERRA DO MATO VI ENERGY S.A"
"KAUAN LIMA MARINHO","EOLICA SERRA DO MATO VI ENERGY S.A"
"MARIA VERONICA DE LIMA GOMES","ESL LICITA COMERCIO E SERVICOS"
"FRANCISCO GOMES DE LIMA JUNIOR","FIXAR DISTRIBUIDORA DE INSTRUMENTAL, MATERIAIS CIRURGICOS E HOSPITALARES LTDA"
"SERGIO MARQUES MADEIRA BARROS NETO","FORT-ENG SOLUCOES AMBIENTAIS LTDA"
"MARIA HELENA MEDEIROS VASCONCELOS","FUNDO ESTADUAL DE DESENVOLVIMENTO DO TURISMO"
"GLAUCILANE CAMELO BATISTA","FURST BIER EMPREENDIMENTOS LTDA"
"DAMIAO ARAUJO FERREIRA","GT PECAS LTDA ME"
"MARCIANE SOARES MARINHO","GUSTAVO PEIXOTO ODONTOLOGIA LTDA"
"BRUNO HENRIQUE ALCANTARA LOPES DE SOUSA","H ELETRO MOVEIS LTDA"
"VALESKA PEREIRA DE LIMA","HOROS INDUSTRIA DE TINTAS LTDA"
"JOSE ALAN COELHO DE SOUSA","HOSPITAL GERAL VALE DO JAGUARIBE - CE"
"ADANA ALBUQUERQUE AZEVEDO","INGRID NAIARA LIMA ABREU"
"BRENDA KENNERY BARBOSA DE OLIVEIRA GONÇALVES","INOVE MANEJO AMBIENTAL LTDA"
"BRENDA KAILANE GOMES DOS SANTOS","INSTITUTO L SEABRA IMPLANTES E REABILITAÇÃO ORAL"
"MARIA EVILANE DOS SANTOS SILVA","J. RUBENS DA SILVA MOVEIS - ME"
"GABRIEL DIONEL GOMES DA SILVA","JANAINA DOS SANTOS MOSCAL 02467462978"
"DEYVISON WILKER DE FREITAS","JAQUELINE DA SILVA PINHEIRO"
"IVANA SOBREIRA EMIDIO DE LIMA","JO REPRESENTACOES"
"OTILIA RODRIGUES DOS SANTOS ROCHA","JOSIANNE DE SOUSA ALVES - ME"
"BRENDA THAIS LOPES DA SILVA","JUNGES E CIA LTDA"
"FRANCISCA DAIANE DA SILVA PEREIRA","J2T ENGENHARIA E SOLUÇOES"
"VALDENORA DOURADO DA SILVA","L SOUZA DOS SANTOS"
"FABRICIO DE SANTANA SILVA","LA SERVIÇOS, CONSULTORIA E MARKETING LTDA"
"ELAYNE ALVES DE SOUSA","LABWARE COM. DE EQUIPAMENTOS PARA LABORATORIO EIRELI"
"ISADORA SAMIA DA SILVA FERNANDES","LAPTOP COMERCIO DE PRODUTOS DE INFORMATICA EIRELI"
"PATRICK MARINHO DUARTE","LEBRE TECNOLOGIA E INFORMATICA LTDA"
"BRENDA IZA NASCIMENTO DE OLIVEIRA","LEO SALVADOR E LAURO LTDA"
"HELENA MARIA DE ABREU","LEONARDO BARRETO SAMPAIO DE ALENCAR"
"RENAN BRITO GADELHA","LUCIANA E DE SOUSA EIRELI"
"LUIZA ROSA OLIVEIRA LIMA","MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTDA"
"FERNANDO RODRIGUES DA SILVA","MAKITA DO BRASIL FERRAMENTAS ELETRICAS LTDA"
"LUCIANA MARIA DA SILVA","MALWEE MALHAS LTDA"
"CAMILA MEDEIROS DA CRUZ","MARLENE DOMINGOS DE OLIVEIRA ME"
"FRANCISCA VITÓRIA DE SOUSA MELO","MERCADINHO CENTRAL LTDA ME"
"MICKAEL DE PAIVA SOUSA","MIQUEIAS DE MORASTI DANIEL VIEIRA - ME"
"FLAVIA CAMPOS SARAIVA","NOME EMPRESARIAL  PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA"
"MARCELA LETHICE LACERDA DE ALMEIDA","NUCLEO JARDIM FLORANDO DO CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL"
"JANICE MEDEIROS RODRIGUES","NUCTECH DO BRASIL LTDA"
"ANTONIA PEREIRA MOURA","ORTO SYSTEM SERVIÇOS ODONTOLOGICOS LTDA"
"VILEBALDO MORAIS DA SILVA","PERUIBE GABINETE PREFEITO"
"ANA ERIKA FELIX AGUIAR","PONTES SAMPAIO DISTRIBUIDORA LTDA"
"JUCIENE FERREIRA DE SOUSA","PREF. SE-ESTANCIA"
"THAINARA FIRMINO DOS SANTOS","PREF. SE-SAO CRISTOVAO"
"THAMIRES FARIAS CAVALCANTE","PREF. SP-ASSIS"
"FRANCISCO SERGIO BARBOSA","PREF. SP-IGUAPE"
"MARIA ADDELIANE AZEVEOMESSIAS","PREFEITURA MUNICIPAL DE REDENCAO"
"FRANCISCA EDNA FREITAS DA COSTA","QUEIROZ E BEZERRA ADVOGADOS ASSOCIADOS"
"GIILVANA DA SILVA ALMEIDA DE OLIVEIRA","LLV TRANSPORTES LTDA"
"MARIA ERICA CARDOSO FREITAS","CLAREAR COMERCIO E SERVICOS DE MAO DE OBRA - EIRELI"
"ANA FABIOLA FORTALEZA DE AQUINO ALENCAR","SUPERINDENDENCIA  DE TRANSITO E MOBILIDADE DE IRECE STM"
"MARIA CECILIA DE OLIVEIRA ALVES","SUPERINDENDENCIA MUNICIPAL DE TRANSPORTES E TRANSITRO-SMTT"
"FERNANDA KAROL LOPES DE MENEZES","SUPERINTENDENCIA MUNICIPAL DE TRANSITO E TRANSPORTES"
"CAUANE VITORIA SOUSA SILVA","CLINICA DE DIAGNOSTICOS POR IMAGEM E ATENDIMENTO AMBULATORIAL LTDA"
"MARIA VANDA DE OLIVEIRA","CONECTRON COMERCIO E SERVICOS DE TELECO  MUNICACOES LTDA"
"ALAN SERGIO RODRIGUES","SUPERMERCADO D & D LTDA"
"ELIAS FERREIRA DOS SANTOS","S.VERRESCHI SOCIEDADE DE ADVOGADOS"
"FRANCISCO LUCILANO PINHEIRO DE SOUSA","TGC ENGENHARIA & EMPREENDIMENTOS IMOBILIARIOS EIRELI"
"PHILIP BANAT SOUZA","DP VIEIRA COLCHOES LTDA"
"ANTONIO GONÇALVES LIMA","E JOTA COMERCE LTDA"
"ESMERALDO DE OLIVEIRA FEITOSA","V DA SILVA F COSTA - ME"
"GLEICIANE SALES DE SOUZA","VILELA E BATISTA SOCIEDADE DE ADVOGADOS"
"MARIA JOSE DE SOUSA GONÇALVES","EMILIO RIBAS MEDICINA DIAGNOSTICA LTDA"
"BENMICIO DO CARMO DE PAIVA SA","F C VIERA COLCHOES LTDA ME"
"LEILA MARIA DE SOUZA","FARIAS E XEREZ ASSESSORIA E CONSULTORIA S/S LTDA."
"SHEYLA MARQUES NEVES","RUBENS FALCAO GONCALVES"
"CARLOS WESLEY BRAGA DA SILVA","LUZILENE ESTANISLAU DA SILVA"
"CARLOS REGIS PACHECO DA SILVA","M. A MACHADO EDITORA"
"LAVINIA BRENA PEREIRA DE FARIAS","CASA DOS PARAFUSOS E FERRAGENS PIANCO LTDA -ME"
"JOSÉ WILCAR TAVARES MOREIRA","CD MENESES E LOUREIRO COMERCIO LTDA ME"
"JOSÉ AUGUSTO DE SOUZA LINHARES","NORMA ENGENHARIA PROJETOS E CONSULTORIA LTDA"
"JOEL PINHEIRO DE ANDRADE","MACHADO & SA BARRETO COMERCIO DE PNEUS LTDA ME"
"SAMUEL DAVI GARCIA FELISMINO","FRANCISCO GOMES EIRELI"
"CARMEM LUIZA DE MELO CRUZ","MADAMA INDUSTRIA E COMERCIO DE CONFECCOES E EIRELI - ME"
"GABRIELA FERREIRA DOS SANTOS","GALESCO ADVOGADOS ASSOCIADOS"
"FRANCISCO HERLON COSTA DE FREITAS","GEAP AUTOGESTAO EM SAUDE"
"FRANCISCA EDNILSA FERNANDES DA  SILVA","MAGIC BEANS COMUNICACAO LTDA"
"REGILENE MARY ANDRADE LIMA","ANA LUZIA BARBOSA ME"
"RAQUEL PETRILLI ELOY","PLENA IMAGEM DIAGNOSTICOS POR IMAGENS LTDA - EPP"
"EDSON MATOS DOS REIS","GND REPRESENTACOES COMERCIAIS LTDA"
"JOÃO VIEIRA DA SILVA","GOLDLAB EXAMES LABORATORIAIS LTDA"
"TIBÉRIO JOSÉ SOUSA ALVEZ","GREEN WORLD DO BRASIL INDUSTRIA COMERCIO E REPRESENTACAO"
"MARCIA THAYNA DE SILVA DE SOUZA","AN AVIAMENTOS COMERCIO VAREJISTA EIRELI"
"RAFAEL DE PINHO CARDOSO","ICF - INSTITUTO CEARENSE DE FISIOTERAPIA E SAUDE SHALONREMA LTDA"
"ALLYSON RISTER PEREIRA LOPES","IGOR BARACHO MOREIRA"
"MIKAELE SILVA TELES","CENTRO DE FORMACAO DE CONDUTORES ARARENDA LTDA"
"JOSE EYMARD RAMOS CAVALCANTE JUNIOR","J. G. TRANSPORTES LTDA"
"DYLAN RABELO COSTA","ROYAL COMERCIO DE ACOS, TUBOS E CONEXOES-EIRELI"
"JOANA DARC DOS SANTOS SOUSA","RTR COMERCIO DE MAQUINAS E SERVICOS LTDA"
"MARIA JORDANA SOUSA RODRIGUES","JCMR2 COMERCIO E REPRESENTACOES DE MOVEIS LTDA"
"ANDREZA DA SILVA EUFRASIO","JEAD AGRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA ME"
"JONATHAN JUSTINO DA SILVA","ANTONIO VIANA FERNANDES 03854520395"
"FRANCISCO RINALDO BARROS","SOCIEDADE BENEFICENTE PADRE VICENTE RODRIGUES DA SILVA"
"ANA ESTELINA DOS SANTOS","BARATEIRO DA CONSTRUCAO"
"CARLOS GUILHERME RODRIGUES FERREIRA","CARTORIO DO REGISTRO CIVIL DO DISTRITO DE QUIXOA"
"FELIPE GONDIM MELO","FROTA MATERIAIS DE CONSTRUCAO E GAS LTDA"
"SILVANA SANTOS DE OLIVEIRA","CEM - DISTRIBUICAO E VAREJO LTDA"
"FRANCISCO ELIESIO ALVES","JOSE DARLIELSON FRAGA DA SILVA"
"FRANCISCO CELIO DO NACIMENTO JUNIOR","CONDAT LUBRIFICANTES DO BRASIL INDUSTRIA E COMERCIO LTDA."
"CRISTIANE FERREIRA DE SOUZA","CONMARFEL BRASIL INDUSTRIA DE INSUMOS CIVIS TERMO ACUSTICOS"
"IGOR CESAR MENEZES DA COSTA","JOSE WESCLEY MARQUES DOS SANTOS ME"
"MARIA GLAUCINEIDE DA SILVA","LABORATÓRIO DE ANÁLISES CLINICAS CANDIDO SANTOS LTDA"
"SUZANA ALVES DE OLIVEIRA FILHA","MARIA SOCORRO MORAIS ME"
"LUANARINA DIAS MENDES","RESIDENCIAL IMPERIAL DE FATIMA SPE LTDA"
"SABRINA COSTA MAVIGNIER GUIMARAES","SABEMI SEGURADORA S/A"
"ANTONIO RAFAEL SIMPLICIO DE OLIVEIRA","SOL SORVETES DISTRIBUIDORA LTDA"
"NAYARA RAQUEL DE LIMA COSTA","SUPERLAB PRODUTOS CIENTIFICOS EIRELI"
"KAUAN VILELA DE SOUZA PEREIRA","TANIA M. D. SA LIMA"
"PEDRO HENRIQUE RODRIGUES CRUZ","TARGET COMERCIO DE MOVEIS E DE ARTIGOS MEDICOS LTDA"
"ROBERTA MARANHÃO DE SOUSA SILVA","TAUMATURGO JUNIOR ADVOGADOS ASSOCIADOS"
"JOSE DANILO FERNANDES FARIAS","TIAGO ALMEIDA OLIVEIRA ME"
"SAMIA FERNANDES COSTA","TRANSPORTE GLORINHA"
"GERLENE PAIVA FERNANDES","ULTRA IMAGEM CLINICAL LTDA"
"MARIA EFIGENIA RODRIGUES","VOTUPORANGA GABINETE PREFEITO"
"FRANCISCA LUCIA CARNEIRO","W R DO CARMO INFORMATICA"
"EVLYM DIELIS BEZERRA LIMA","FRANCISCO JOSE BEZERRA PINTO"
"MARIA ADRIANA SAMPAIO SANTANA","MARCONDES DOS SANTOS"
"ANNA CAROLINE AQUINO PINHEIRO","MARIA ROZILDA PINHEIRO"
"ALESSANDRO DA SILVA","SALATIEL VIEIRA DE CASTRO"
"ANA KELLY SALDANHA DE LIMA","A DE L PORTO"
"SORAIA GOMES DA SILVA","A L B COMERCIO DE CALCADOS EIRELI"
"THAILHANE DA SILVA BESSA","ADGLNT FARMACIA DE MANIPULACOES LTDA ME"
"JAMILLY SILVA FURTADO","ALFA INDUSTRIA E COMERCIO DE PECAS E ACESSORIOS EIRELI"
"JOZENI DO NASCIMENTO SILVA","ANDERSON FELIPE ALMEIDA DOS SANTOS 76798828272"
"FRANCISCA MARIA SOUZA TEIXEIRA","ANTONIA BARBARA MOTA CAVALCANTE EIRELI"
"KALINA ILIA DE LIMA CARVALHO","B O BARROS - ME"
"RENATO RIBEIRO DUTRA","BANCO DO NORDESTE DO BRASIL S/A"
"LIZANDRA KELLY ARAUJO SALES","BANCO VOTORANTIM S.A."
"GABRIEL ALISSON BRITO PEREIRA","BENY PATRICIO SEVERO LOBO"
"ALVARO OLIVEIRA CHAVES","BFS INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI"
"FRANCISCA CRISTINA DA SILVA","BRASQUÍMICA PRODUTOS ASFALTICOS LTDA"
"RAABE ALVES VIEIRA","BRUTTI E DORNELES EDITORES LTDA"
"MARIA HELENA DE SOUZA PEREIRA","CARLOS SILVEIRA ADVOGADOS ASSOCIADOS LTDA"
"PABLO DA SILVA BARBOSA","CARTORIO 1 OFICIO DE REGISTRO CIVIL DA COMARCA DE SANTANA DO CARIRI"
"MARYLANE SILVA DO NASCIMENTO","CASA CAR VEICULOS LTDA"
"SAMARA DOS SANTOS BORGES","CENTRO DE FORMACAO DE CONDUTORES MAIA LTDA ME"
"CARLOS HENRIQUE MELO SOARES","CENTRO DE FORMACAO DE CONDUTORES PEROLA LTDA."
"GERMANO ALVES LIMA","CESAR WAGNER M M COMUNICACAO LTDA"
"FRANCISCA ELZIANE DA SILVA RODRIGUES","CEVIL- COMERCIO DE EQUIPAMENTOS & VALVULAS INDUSTRIAIS LTDA - ME"
"ROSANGELA SOUSA","CHAVES &PINHEIRO CLINICA DE ESPECIALIDADES MEDICAS LTDA"
"VALESKA DE SOUSA ALVES","COMERCIAL FLEX EIRELI"
"GLEICE ELEN DE LIMA FERREIRA","CREFAZ SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA"
"MARIO CAVALCANTE DE CARVALHO","DANONE LTDA"
"MARIA MARILENE DE OLIVEIRA MOURA","DJANE DA S MELO"
"CARLOS LUCAS SOUSA DA SILVA","EMPRESA DE MEIO AMBIENTE DO BRASIL LTDA"
"ADELAIDE NASCIMENTO LIMA SILVA","EMPRESA GERENCIAL DE PROJETOS NAVAIS"
"FRANCISCO MARCISIO SOARES DA SILVA","ETP - EQUIPAMENTOS TERAPEUTICOS PERSONALIZADOS COMERCIO LTDA."
"BRENA NAYARA BEZERRA PEREIRA","FSF TECNOLOGIA S.A."
"JULIANA RODRIGUES DA SILVA","HARLEY BRAGA DIAS SIMOES"
"JOAO GABRIEL GURGEL REGIS","I C DE SOUSA COSTA"
"JANAINA OLIVEIRA CASTRO","INACIO PARENTE AGUIAR ME"
"JOSINEIDE MARIA ALVES TEIXEIRA BRAGA","INDUSTRIA TEXTIL OVERHILLS LTDA"
"ANA CAROLINE RODRIGUES","INOVE PRODUÇÕES DE EVENTOS E SHOW BAR EIRELI"
"IBSON DA SILVA MARTINS","JN INSTALAÇÃO E MANUTENÇÃO ELETRICA"
"MARIA LUCIA FERREIRA PEQUENO","K G CONSTRUCOES LTDA"
"ANTONIO JOSE BARBOSA DE OLIVEIRA","KLNCEWXPRESS TRANSPOTES EIRELI"
"MARIA ANISIA SILVA DE OLIVEIRA","LAGOAFORT REFEICOES LTDA"
"MILENA MOURÃO DE SOUSA","LEANDRO VASQUES ADVOGADOS ASSOCIADOS S/S"
"KARINA VIEIRA ALVES LINHARES","M AM EUSEBIO CONFECÇÕES ME"
"DAMIEN RIBEIRO MAIA","MADEIREIRA POPULAR LTDA"
"DANIELE BEZERRA SAMPAIO","MARIA M DE MORAIS ALVES VARIEDADES"
"ANDERSON LUIS DE LIMA SILVA","MERCANTIL ONOFRE PRAIANO EIRELI"
"FRANCISCA BATISTA GOMES DE OLIVEIRA","ML COMERCIO E IMPORTACAO DE MATERIAIS HOSPITALARES E SERVICOS ADMINISTRATIVOS LTDA - EPP"
"ANTONIO WILLIAM DE OLIVEIRA GURGEL","MM COMERCIO DE CALCADOS EIRELI ME"
"ANA GABRIELLY BRAGA GARCIA","MONSEAL INDUSTRIA E COMERCIO EIRELI"
"LUIZ HENRIQUE PEREIRA BRILHANTE","MUNICIPIO DE GUANAMBI"
"FRANCISCO WILTON DA SILVA CAMPOS","MUNICIPIO DE ITABIRA"
"ANA SABRINA DOS SANTOS","MUNICIPIO DE ITAQUAQUECETUBA"
"OTAVIO LUCIO TAVARES DE FREITAS","MUNICIPIO DE JARDINOPOLIS"
"WISLA MARIA DA SILVA CARVALHO","MUNICIPIO DE LAGARTO"
"FRANCISCO EVALDO MATOS JERONIMO","MUNICIPIO DE NOSSA SENHORA DAS DORES"
"FLAVIO CORREIA RIBEIRO","OLIVEIRA E CUNHA INDUSTRIA E COMERCIO DE MADEIRAS LTDA"
"NATALIA ESCOSSIA DA ROCHA PITTA","ORTO SYSTEM SERVICOS ODONTOLOGICOS LTDA"
"LEANDRO COSTA CAVALCANTE","POLO DO ELETRO COMERCIAL DE MOVEIS LTDA"
"JUAREZ PIRES DE MOURA NETO","PRIME VEICULOS EIRELI"
"ROBERIO DE SOUSA LIMA","RESIBRAS INDUSTRIA DE CASTANHAS LTDA"
"CICERA FABIANA DA SILVA","RIMAG COMERCIO DE VEICULOS SOCIEDADE UNIPESSOAL LTDA"
"LAHIS MURIEL FELICIANO DOS SANTOS","RITA A M LIMA RESTAURANTE"
"CRYSLA BESERRA VIEIRA","SAINT PAUL EDUCACIONAL LTDA."
"FRANCISCO EUDES VIEIRA TEIXEIRA","SALUTE MESSEJANA CLINICA ODONTOLOGICA LTDA"
"MARIA EVANEUMA ALVES CARNEIRO MATIAS","SANGINE CIRCO ESCOLA PEQUENOS E GRANDES"
"PEDRO GEORGE SALES TORRES","SANTOS FREITAS COMERCIAL DE VESTUARIO LTDA"
"MIKAEL GLEISON CRUZ MESQUITA","SCHIWAY SERVICO E COMERCIO DE ACRILICOS LTDA"
"CICERA DIAS DE CARVALHO DA SILVA","SERRANA PRODUTOS VETERINARIOS LTDA"
"FRANCISCA FABIA BASILIO GERALDO","S.R. COMERCIO DE TECIDOS - EIRELI"
"FRANCISCA DAYANE BARBOSA GOMES","TEIXEIRA COMERCIAL DE MOVEIS E ELETRODOMESTICOS LTDA ME"
"FRANCIMAR DANTAS MARTINS","TF LOCACOES E CONSTRUCOES PINHEIRO LTDA"
"JOSE JOVEMAR GOMES FILHO","VALFREDO BESSA ADVOGADOS"
"ADEMIR GALVAO MOTA","VERA RUZ REVENDEDORA DE DERIVADOS DE PETOLEO LTDA."
"ANDERSON FIGUEIREDO DOS SANTOS","W. E. DE LACERDA"
"JULIO PALOMINO LIMA DE VALENTIM","YANN COMERCIO E INDUSTRIA LTDA"
"JEFFERSON ALVES TORRES","ZEREZES DESIGN, PRODUCAO E COMERCIO DE ARTESANATOS LTDA"
"FRANCISCO SERGIO COSTA FERREIRA","ANTONIA GUERRA DE LIMA"
"RENATA DE MELO RIBEIRO","LEONARDO TIAGO DO CARMO FERREIRA - ME"
"ELISIENE FAUSTINO DA SILVA LIMA","ARMAZEM SOARES BARRETO EIRELI"
"GABRIEL FELIPE ALMEIDA MOTA","LOJA FLEX EXCLUSIVE EM APARELHOS FITNESS E PLAYGROUND SP EIRELI"
"MARIA DO SOCORRO DE MOURA LIMA","BAN BAN COMERCIAL DE CALCADOS LTDA"
"ANA CAROLINE CLEMENTE","CONTAB - CONTABILIDADE E ASSESSORIA LTDA"
"ROMULO ALVES ARAUJO","LUCIEUDO ALVES NOGUEIRA"
"MARIA LIDUINA DE SOUZA MEDEIROS","FABRICIO VIEIRA DE OLIVEIRA COSTA ME"
"JOSE EDMILSON ALVES PEREIRA","ASTRA MEDICAL SUPPLY PRODUTOS MEDICOS E HOSPITALARES LTDA"
"TEREZA NEUMA ARAGÃO","CSM SERVICOS CONTABEIS LTDA"
"EMANUEL ALFREDO DUARTE MATTO","SISTEMA LIBERDADE DE COMUNICACAO LTDA"
"NAJLA LUCIA SILVA SALES","V & J COMERCIO DE MADEIRAS LTDA"
"FERNANDA HELEM GOMES DA SILVA","A DE LIMA VIEIRA CALCADOS"
"MARIA EDNA MONTEIRO DE ALMEIDA","A HELTON ARAUJO SILVEIRA ME"
"TARCISIO MOTA JUNIOR","A J FIUZA DE ALBURQUERQUE LTDA"
"ELIENILA FONTINELE SILVA","AWD ENERGIA ARMAZEM E REPRESENTACOES LTDA"
"LUIS FERNANDO DAMASCENO FEITOSA","M E GOMES CONTABILIDADE"
"FRANCISCO WESLEY LIMA ANDRADE","M L GOMES FILHO"
"ANA KATRINE DE MORAES SOUSA","M S LOJAO DO FERRO LTDA"
"FLAVIANA LUCENA PEREIRA FERREIRA","MERCANTIL LEANDRO LTDA EPP"
"FRANCISCO PEDRO DE OLIVEIRA","ANTONIO WASHINGTON PINHEIRO - ME"
"DEBORA RODRIGUES LIMA RABELO","ARAUJO E PAIVA COMERCIO DE INSTRUMENTOS MUSICAIS LTDA"
"VICTOR PEREIRA DE SOUSA","MAKRO ATACADISTA S.A"
"FRANCISCO DA PAZ MARTINS","GRAFICA E EDITORA LIRIOS EIRELLI ME"
"LUCAS OLIVEIRA DOS SANTOS","CABRAL & LIMAVERDE PEÇAS E SERVIÇOS DIESEL LTDA ME"
"FRANCISCA HERMINIA SANTIAGO","CANDIDO AGRIPECAS MAQUINAS E LOCACOES EIRELI ME"
"ISAAC DE LIMA BARBOSA","EGS DISTRIBUIDORA LTDA"
"TIAGO SILVA SANTOS","ERICO CAVALCANTI PEIXOTO"
"MARCIA SOARES DA SILVA RUFINO","EXITO SERVICOS DE APOIO ADMINIST EIRELI EPP"
"ABNESIO DE ANDRADE AZEVEDO","CARLA CONSTRUCOES EIRELI - EPP"
"APARECIDA SERGIANE DOS SANTOS SILVA","D E M COMERCIO DE COLCHOES LTDA"
"YTALO LIMA DA SILVA","DAMIANA ROSANGELA SILVA-EPP"
"WASHINGTON BANDEIRA MARQUES","D & E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA"
"MARIA JULIETE MARTINS FREIRE","LENARGE TRANSPORTES E SERVICOS LTDA"
"LUCAS LIMA DE SOUSA","LIDERANCA LOGISTICA E TRANSPORTE LTDA - ME"
"THIAGO ALVES HENRIQUE DA COSTA","LIDIA F LIMA - EPP"
"KELLYANE GOMES PEREIRA","MARITIMOS PESCADOS CEARA LTDA"
"ANGELA MARIA FERREIRA","LMG LASERS - FABRICACAO, COMERCIO, IMPORTACAO E EXPORTACAO LTDA"
"FRANCISCO RENATO MAIA MORAES"," INTERCERT COMERCIO E SERVICOS TECNOLOGICOS LTDA"
"ANDRESSA AVES DE SOUSA","MARTA MARIA GOMES GUERRA - ME"
"TAMIRES RAMONE ALVES MONTEIRO","MASTER TEXTIL COMERCIO E REPRESENTAÇOES DE TECIDOS LTDA"
"MARINA FURTADO SEDYCIAS","M GORETE ALVES ROCHA OLIVEIRA ME"
"FRANCISCO GABRIEL DOMINGOS PAIXAO","M LEITE DE SOUSA"
"CLEBIANO LIMA GOMES","CASSEL RUZZARIN SANTOS RODRIGUES ADVOGADOS"
"ALISSON LMA CRUZ","IP INDUSTRIA DE ALIMENTOS EIRELI"
"HALISON DO NASCIMENTO","H.F COMERCIO DE COLCHOES LTDA-ME"
"ANDREZZA INÁCIO OLIVEIRA","DARLISSON LIMA ARAUJO ME"
"PAULO DE SOUSA SANTOS","JOÃO GENEROSO DE SOUZA - ME"
"ANTONIO WILDERLANDIO SOUSA GONCALVES","CASA DIAS MATERIAL DE CONSTRUCAO LTDA"
"MARIA ILANI BARROSO PORTELA","BEZERRA MORANGOS E TRANSPORTES LTDA"
"DIEGO BARBOSA NUNES DO NASCIMENTO","BSB COMERCIAL HOSPITALAR EIRELI"
"EVERARDO DA SILVA MATOS"," C BARROS TAVARES BORDADOS"
"MARIA ALINE MARTINS GOMES","CAMINHA E SIPHONE SOCIEDADE DE ADVOGADOS"
"JULIANA SILVA DE SOUSA","CAMINHA E SIPHONE SOCIEDADE DE ADVOGADOS"
"LAIS CABRAL BACHÁ QUEOROZ","LOGMASTER LOGISTICA INTEGRADA LTDA"
"FRANCIONE GOMES PAIVA","LUCENA, MENESCAL E SILVA - ADVOGADOS"
"YAN MARCOS RICARDO SALDANHA","RONSULEUDO CAETANO CAVALCANTE"
"CARMADELIO SILVA DE SOUSA","ROSANGELA PEREIRA DA SILVA ME"
"MARIA DA CONCEIÇÃO GOMES DA SILVA","CASA 7 - COMERCIO E REPRESENTACAO DE PISOS LTDA"
"CARLOS ANDERSON LIMA DA COSTA","SAGE COSMETICOS MA LTDA"
"ROSANGELA ARAUJO DE GOIS","SALUTEM COMERCIO DE MOVEIS HOSPITALARES EIRELI"
